"","V1","V2"
"1",1,-0.173150127751735
"2",2,-0.10725539730048
"3",3,-0.242857755764804
"4",4,0.105950315103888
"5",5,-0.12657422317619
"6",6,-0.390846471542352
"7",7,-0.242248464897348
"8",8,0.278981152003293
"9",9,0.833726582353704
"10",10,-0.0147216283839573
"11",11,-0.44070028147236
"12",12,-0.348427139391455
"13",13,-0.723427591326559
"14",14,0.710720700765192
"15",15,0.42085141919964
"16",16,0.253879645081247
"17",17,0.79340956456944
"18",18,0.394146477257266
"19",19,0.220184193205489
"20",20,0.271691829174168
"21",21,-0.127481505204538
"22",22,0.0210658011270949
"23",23,0.208877138710656
"24",24,-0.365732861523683
"25",25,0.35896289745888
"26",26,-0.752384595288525
"27",27,-0.406016805690076
"28",28,-0.897489881128313
"29",29,-0.553234394946792
"30",30,-0.238023004426386
"31",31,-0.856122923749392
"32",32,-0.709615826549182
"33",33,-0.8533343535444
"34",34,-0.572684185547367
"35",35,-0.489440449510533
"36",36,0.0433294930765405
"37",37,-0.31419015755381
"38",38,-0.33914618354136
"39",39,-0.546715001074735
"40",40,0.070873337899728
"41",41,0.0954988116352408
"42",42,-0.690972099700646
"43",43,-0.553055258908281
"44",44,-0.592296008546057
"45",45,-1.09684941137124
"46",46,-0.691777895987412
"47",47,-0.958040677138769
"48",48,-0.459884862657795
"49",49,-1.0040501249376
"50",50,-0.36418101984264
"51",51,0.415913520220174
"52",52,0.546135104496123
"53",53,0.41259951112536
"54",54,-0.06837627453606
"55",55,-0.237069074058648
"56",56,-0.26813923538724
"57",57,-0.360680425205012
"58",58,-0.294487776607549
"59",59,-0.560929551028392
"60",60,-0.360319984899457
"61",61,-0.203737090113627
"62",62,0.305438067059423
"63",63,0.316527758006225
"64",64,0.112928543714688
"65",65,0.25769452158925
"66",66,-0.283972443341184
"67",67,-0.25475101575366
"68",68,-0.153041158916755
"69",69,0.0376442074707157
"70",70,0.2938414450296
"71",71,0.238431104072128
"72",72,-0.246111841863381
"73",73,-0.185937330053904
"74",74,-0.664273935864444
"75",75,-1.2852267488736
"76",76,-1.29760919020817
"77",77,-1.31145339429389
"78",78,-1.71898403820861
"79",79,-1.70408847228879
"80",80,-1.54980136632006
"81",81,-1.7207021184288
"82",82,-1.88604397237529
"83",83,-1.33305499451968
"84",84,-0.68978994604728
"85",85,-1.39463600784768
"86",86,-1.56231620301572
"87",87,-1.56249443694341
"88",88,-1.15076056297514
"89",89,-1.0594782154632
"90",90,-0.919238353412872
"91",91,-0.725785947883515
"92",92,-0.82025218798809
"93",93,-1.8957609769176
"94",94,-1.72191572136656
"95",95,-1.40701925960861
"96",96,-2.0695729832778
"97",97,-2.09415658138263
"98",98,-1.80220837842344
"99",99,-1.69681220226135
"100",100,-2.35494312927956
